1.被觀察者的訊息傳達?,2.被觀察者的肢體語言?,3.被觀察者的動作和手勢?,4.被觀察者與人眼神接觸是?,5.被觀察者的聲音是?,6.被觀察者使用語助詞的頻繁度?,7.整體來說，被觀察者的說話效果如何?,8.描述你對這位被觀察者的整體心得?
很明確,沉穩,清晰地,持續,堅定地,1,10,
很明確,做作,清晰地,持續,小心謹慎地,2,6,
很明確,沉穩,清晰地,持續,小心謹慎地,5,8,停頓點太久，有點舞台劇式演講，不過講的內容非常清楚明白，表達很清楚！
很明確,不安,清晰地,持續,小心謹慎地,2,8,演講生動，會讓人進入故事中
不夠集中,做作,清晰地,持續,,4,6,有些地方定格太久
很明確,沉穩,清晰地,持續,堅定地,4,8,朝自己夢想前進你一定可以成為好演員的!加油~~~
很明確,沉穩,清晰地,持續,堅定地,7,7,她的故事跟我近期的經歷很像，也是不斷在試鏡中受挫，也一直在學習適應這個環境，也不斷地感受到想成為演員的難處，也許就是因為知道她想說的是甚麼，所以瞞吸引我聽下去的。
很明確,沉穩,清晰地,持續,堅定地,1,10,真的是一位好演員呢！
很明確,做作,清晰地,持續,堅定地,1,3,感覺得出來是很認真在準備這項作業 講話也很大方 
很明確,沉穩,清晰地,持續,小心謹慎地,2,9,勇敢追夢很棒，加油!
很微弱,有點不安,受限地,游移,小心謹慎地,6,5,好像有在講什麼但是聽的不是很有重點，清楚的地方斷斷續續
,沉穩,清晰地,游移,小心謹慎地,3,7,咬字清晰，但會晃來晃去能看出有點緊張
很明確,熱情,清晰地,持續,堅定地,2,8,肢體動作很大，故事也很吸引人，真的是演員。
很明確,沉穩,清晰地,游移,堅定地,1,8,內容很有趣，支體動作很好
很明確,熱情,清晰地,持續,堅定地,5,5,看得出來你很喜歡自己！很喜歡你私底下講話的感覺~
自己知道自己有講什麼，有點難確定主題明不明確！,不安,清晰地,思考時眼神飄走的時刻很多,小心謹慎地,2,5,看起來覺得彆扭，自己看也感覺尷尬
很明確,沉穩,清晰地,持續,堅定地,5,6,
很明確,不安,含糊地,持續,小心謹慎地,4,7,也許講話的語速可以再快一些，比較會能集中注意力
很明確,沉穩,清晰地,持續,堅定地,4,7,清晰明瞭
很明確,不安,清晰地,游移,小心謹慎地,1,5,
很明確,沉穩,清晰地,持續,堅定地,3,8,他很認真的去認識自己，了解自己對演戲的喜愛，雖然有恐懼但還是勇於挑戰自己！加油！！
很明確,熱情,清晰地,有持續也有游移,堅定地,3,7,說話很清楚接下來該說什麼
很明確,沉穩,清晰地,完全專業,堅定地,4,10,專業電影系大五
很明確,熱情,清晰地,,,,,
很明確,沉穩,清晰地,持續,堅定地,3,10,加油加油～！！每個人都有自己的時區，會順利的：）
很明確,沉穩,清晰地,持續,堅定地,5,8,結構完整，聲音音色悅耳.口齒清晰，但表現略顯正式與謹慎，可更大膽嘗試各種表達方式
很明確,沉穩,清晰地,持續,堅定地,1,10,
不夠集中,不安,受限地,游移,小心謹慎地,2,5,雖然恨怕外面的世界，仍然很勇敢去挑戰，值得佩服，但可以再把要說的，表達更明確
很明確,沉穩,清晰地,持續,堅定地,1,9,
很明確,沉穩,清晰地,游移,小心謹慎地,3,5,整體有點偏慢、一開始看得出來似乎有背稿，有點官腔
很明確,沉穩,清晰地,持續,堅定地,4,8,很有自信
很明確,熱情,清晰地,持續,堅定地,3,9,動作自然 表達清晰
很明確,熱情,清晰地,持續,小心謹慎地,1,8,很厲害的演員，但有點像在背稿
不夠集中,做作,受限地,游移,堅定地,2,7,
很明確,沉穩,清晰地,游移,小心謹慎地,4,8,我覺得可以更快進入主題
很明確,沉穩,清晰地,持續,堅定地,3,10,
很明確,熱情,清晰地,持續,堅定地,4,7,
