1.被觀察者的訊息傳達?,2.被觀察者的肢體語言?,3.被觀察者的動作和手勢?,4.被觀察者與人眼神接觸是?,5.被觀察者的聲音是?,6.被觀察者使用語助詞的頻繁度?,7.整體來說，被觀察者的說話效果如何?,8.描述你對這位被觀察者的整體心得?
很明確,沉穩,清晰地,持續,堅定地,10,10,
很明確,沉穩,清晰地,持續,小心謹慎地,2,9,鄭愷台風穩喔加油
很明確,沉穩,清晰地,持續,堅定地,2,7,真的~~~~~還好要重鋪了不然真的好危險
很微弱,不安,含糊地,游移,小心謹慎地,5,6,會讓人聽不清楚 飄飄
很明確,沉穩,清晰地,游移,堅定地,3,5,我覺得因為眼神經常飄移會讓觀眾失焦，專注在跟觀眾講話的話，觀眾也會想專注聽你講話。
很明確,不安,受限地,游移,堅定地,7,3,感謝宣導，可帶入更多情緒會更讓人記得~
很明確,沉穩,受限地,游移,堅定地,5,6,還不錯
很明確,沉穩,受限地,游移,堅定地,4,7,內容不錯，講話可以在大聲一點。
很明確,不安,含糊地,游移,猶豫不決地,6,5,深感認同
很明確,不安,受限地,游移,堅定地,5,7,
很明確,沉穩,受限地,游移,小心謹慎地,3,8,分享個人北藝交通想法的主題與被觀察者的肢體語言很搭
很微弱,不安,受限地,游移,猶豫不決地,6,6,不安
很明確,不安,受限地,游移,猶豫不決地,8,6,路真的超級爛
很明確,沉穩,清晰地,游移,小心謹慎地,3,4,可明確點
很明確,沉穩,清晰地,,堅定地,4,9,
很明確,沉穩,清晰地,游移,猶豫不決地,8,4,
很微弱,不安,受限地,游移,小心謹慎地,3,7,
很微弱,不安,受限地,游移,小心謹慎地,3,7,
很明確,沉穩,受限地,游移,小心謹慎地,6,7,同感
很明確,不安,受限地,游移,堅定地,1,9,封你為北藝交通安全大使
很明確,不安,清晰地,游移,小心謹慎地,1,5,
很明確,曖昧的,情色的,勾引,引人遐想的,7,9,先生 鬍子
很明確,沉穩,清晰地,持續,堅定地,4,8,
很明確,沉穩,清晰地,持續,小心謹慎地,6,6,
不夠集中,不安,受限地,游移,小心謹慎地,3,7,謝謝
很明確,沉穩,清晰地,游移,小心謹慎地,6,7,
很明確,沉穩,清晰地,持續,堅定地,5,7,
很微弱,沉穩,含糊地,游移,堅定地,3,6,
很明確,沉穩,受限地,游移,小心謹慎地,2,8,人性化交通宣導大使，理性抱怨文
很明確,不安,受限地,持續,堅定地,4,7,
很明確,沉穩,含糊地,持續,堅定地,3,7,幽默
很明確,沉穩,清晰地,持續,堅定地,6,6,不錯
很明確,沉穩,清晰地,游移,堅定地,6,7,勇於表達意見，蠻好的
很明確,沉穩,清晰地,持續,小心謹慎地,4,8,很語重心長的交通宣導影片，辛苦了
很明確,沉穩,受限地,持續,小心謹慎地,5,6,
很明確,沉穩,清晰地,游移,堅定地,6,6,這真的必須通報學校～路真的很爛。謝謝他講出大家的心聲
很明確,熱情,清晰地,游移,堅定地,6,7,講者做了很好的處理選擇在於內容屬抱怨性質，但他以較為理性與雲淡風輕的方式表達，讓觀眾理解其困擾又不會太有壓迫感。
很明確,沉穩,受限地,游移,堅定地,6,7,同感！路好像這幾天有在修了！就等結果！
很明確,沉穩,受限地,游移,猶豫不決地,2,7,
很明確,不安,受限地,游移,猶豫不決地,8,6,
很明確,自然,清晰地,持續,平淡,3,6,內容清晰，邏輯清楚，語調平淡略顯乏味。
不夠集中,不安,含糊地,游移,堅定地,6,4,主題挑選的不夠引人興趣，肢體語言眼神動作等等可以再加強～
很明確,沉穩,清晰地,持續,堅定地,1,10,內容一定能跟很多人產生共鳴
很明確,沉穩,清晰地,游移,堅定地,8,7,表達內容清晰有條理
很明確,沉穩,清晰地,持續,堅定地,5,7,
很明確,沉穩,清晰地,游移,堅定地,6,5,
很明確,沉穩,受限地,游移,堅定地,6,6,
很明確,沉穩,受限地,持續,堅定地,4,7,
很明確,沉穩,受限地,持續,猶豫不決地,5,6,
很明確,沉穩,受限地,游移,小心謹慎地,7,7,感覺到出來你的無奈😂這幾個應該都是你很在意的幾點問題吧，不過坑洞的部分說不定是想等都完工了再來修吧
很明確,沉穩,清晰地,持續,小心謹慎地,6,6,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
