1.被觀察者的訊息傳達?,2.被觀察者的肢體語言?,3.被觀察者的動作和手勢?,4.被觀察者與人眼神接觸是?,5.被觀察者的聲音是?,6.被觀察者使用語助詞的頻繁度?,7.整體來說，被觀察者的說話效果如何?,8.描述你對這位被觀察者的整體心得?
很明確,沉穩,清晰地,游移,猶豫不決地,10,9,
不夠集中,沉穩,含糊地,游移,猶豫不決地,2,6,
很明確,不安,含糊地,游移,難過地,7,5,正在情緒下的錄影，聽了也蠻難過嗚嗚，加油！
很明確,熱情,受限地,游移,小心謹慎地,8,6,想哭想發洩就做吧! 化悲傷為創作力量!!
很明確,沉穩,,游移,堅定地,3,4,
很明確,沉穩,受限地,游移,小心謹慎地,4,7,其實分手不一定是壞事，畢竟每段感情都有值得學習的地方，重要的是你有沒有在這段感情成長，加油~~~~~
很微弱,不安,清晰地,游移,猶豫不決地,5,5,就可能如果要分享價值觀差異，會希望能有故事舉例，也更能知道雙方差異在哪。
不夠集中,,含糊地,游移,小心謹慎地,9,4,不要哭 加油
很明確,沉穩,受限地,游移,猶豫不決地,2,4,"不要哭...
我都單身20年了 不尷尬"
很明確,沉穩,清晰地,游移,堅定地,2,8,拍拍沒事的，一定會遇到更好的人!
很微弱,不安,含糊地,游移,猶豫不決地,7,6,慢慢的表達自己的情緒還可以
很明確,不安,受限地,游移,小心謹慎地,6,7,眼神不夠堅定  。
很明確,沉穩,受限地,持續,堅定地,4,7,講話不錯，內容有感情。
很明確,沉穩,受限地,游移,堅定地,4,7,內容很有感情，表達得很好
很明確,沉穩,清晰地,游移,小心謹慎地,6,5,希望你會越來越好，加油！
很明確,沉穩,坐在宿舍不太能觀察,持續,堅定地,2,9,坐在電腦前，都覺得自己是被觀察者的朋友，很想關心她，
很明確,沉穩,受限地,游移,堅定地,5,5,故事吸引人。
很明確,沉穩,清晰地,游移,堅定地,4,8,覺得非常真誠
很明確,沉穩,清晰地,游移,小心謹慎地,6,7,內容詳細真誠，透過螢幕真的能感受到妳的難過
很明確,不安,清晰地,游移,堅定地,2,5,講話有條有理
很明確,不安,清晰地,游移,小心謹慎地,3,4,感受得出來他很難過加油！！
很明確,沉穩,清晰地,游移,堅定地,5,6,"希望學姐遇到更好的人！
這個故事讓人很有感覺"
失戀陣線聯盟,不安,受限地,游移,難過的,5,6,加油💪🏻
很明確,沮喪,受限地,游移,小心謹慎地,,,
很明確,沉穩,清晰地,游移,堅定地,8,9,“我不想再消耗自己，或是消耗這段感情” 這句話好戳，辛苦了，你很棒姊姊，抱一個！！
很明確,沉穩,受限地,持續,低迷,6,7,情緒真實而富感染力，但也因此表達顯得有氣無力，過程中思考停頓處可再減少
很明確,沉穩,清晰地,持續,堅定地,3,8,
很明確,沉穩,清晰地,持續,小心謹慎地,9,7,分手一定會難過，希望你趕快走出來
很明確,沉穩,清晰地,偶爾猶疑,小心謹慎地,6,6,習慣用字：然後
很明確,沉穩,沒啥動作,游移,堅定地,2,9,很真實，流暢，為你加油
不夠集中,不安,受限地,游移,小心謹慎地,5,5,有點不安的感覺
很明確,沉穩,清晰地,持續,堅定地,2,8,
不夠集中,不安,受限地,游移,小心謹慎地,5,5,祝你幸福，找到真愛QQ
不夠集中,無,清晰地,游移,猶豫不決地,3,6,
很明確,不安,受限地,游移,猶豫不決地,7,6,親愛的加油！！
很明確,不安,受限地,游移,小心謹慎地,8,4,
不夠集中,不安,受限地,游移,小心謹慎地,5,5,
很明確,不安,含糊地,游移,小心謹慎地,7,6,
很明確,不安,含糊地,游移,小心謹慎地,5,4,平常心
很微弱,不安,受限地,游移,堅定地,6,7,很多然後xd
很微弱,不安,受限地,游移,堅定地,8,5,能感受到真情實感帶來的情緒波動
很明確,不安,沒什麼手勢,游移,因為哭過，有點緊繃,4,6,主題鮮明，聲音悅耳
很明確,不安,含糊地,游移,小心謹慎地,5,6,
很明確,不安,清晰地,游移,猶豫不決地,6,5,
很明確,沉穩,清晰地,持續,堅定地,5,5,
很明確,沉穩,清晰地,持續,堅定地,6,6,
不夠集中,不安,含糊地,游移,小心謹慎地,5,5,
