1.被觀察者的訊息傳達?,2.被觀察者的肢體語言?,3.被觀察者的動作和手勢?,4.被觀察者與人眼神接觸是?,5.被觀察者的聲音是?,6.被觀察者使用語助詞的頻繁度?,7.整體來說，被觀察者的說話效果如何?,8.描述你對這位被觀察者的整體心得?
很明確,沉穩,清晰地,持續,堅定地,1,10,
很明確,熱情,清晰地,持續,小心謹慎地,4,7,
很明確,沉穩,受限地,游移,小心謹慎地,6,5,整體內容清楚明白～
很明確,不安,清晰地,持續,堅定地,7,5,比較像在聊天分享比較不像在演講。p.s.現在還能看到你真是奇蹟~ 老天保佑!
很微弱,不安,,游移,,3,6,
很明確,沉穩,清晰地,持續,堅定地,6,6,這個病毒真的好可怕，國外總是不喜歡戴口罩難怪那麼多人確診，但不管去哪我們都還是要保護好自己，也保護別人
很明確,沉穩,清晰地,持續,堅定地,5,6,關於在德國戴口罩的說明感覺可以放在故事開頭，可以讓聽眾更知道為甚麼後面故事中的人會對於戴口罩有如此的反應。
很明確,沉穩,受限地,持續,小心謹慎地,8,10,講話很討人喜歡
很明確,熱情,清晰地,持續,堅定地,2,8,清楚
很明確,沉穩,清晰地,持續,堅定地,2,8,還是得戴口罩啦~~
不夠集中,微不安,微微不安,持續,堅定地,7,7,還不錯很像講故事但是有點久聽到有點分心
很明確,熱情,受限地,持續,堅定地,3,8,"表達很清楚
"
很明確,熱情,清晰地,游移,堅定地,3,8,故事有趣，講話挺順的。
很明確,熱情,清晰地,游移,堅定地,4,6,故事有趣，講話很順
很明確,沉穩,清晰地,持續,堅定地,5,5,講話蠻可愛的，還好你沒事！
很明確,沉穩,清晰地,持續,堅定地,7,7,「然後」很多，不過不會覺得很不舒服，挺可愛的。
很明確,沉穩,受限地,持續,堅定地,6,6,前面一開始好像有點謹慎的關係，講話會有一些奇怪的停頓，但後面就還好了。
很明確,沉穩,受限地,持續,堅定地,4,7,語速有一點點慢，但主題很應景有趣
很明確,沉穩,清晰地,持續,堅定地,4,7,
很明確,沉穩,清晰地,持續,堅定地,1,5,講話清楚有條理，語速剛剛好
很明確,沉穩,受限地,持續,堅定地,5,3,
很明確,熱情,清晰地,持續,堅定地,4,9,讓人體驗到在德國的氣氛
很明確,做作,受限地,持續,小心謹慎地,6,7,
,,,,,,,
,,,,,5,5,自己的是不是不方便填ＸＤＤ
很明確,熱情,清晰地,持續,堅定地,6,8,表達生動，題材特別，但結尾因時間未控制好草草結束有點可惜。內容結構應再熟稔，避免只按記憶說。
很明確,沉穩,清晰地,持續,堅定地,2,9,
很明確,沉穩,清晰地,持續,堅定地,3,5,許多國家對疫情的嚴重性很不了解，但是對的事應該堅持，妳很了不起
很明確,沉穩,普通,持續,堅定地,10,5,習慣用字：然後
很明確,沉穩,清晰地,,堅定地,1,9,咬字清晰語調可愛
很明確,沉穩,清晰地,持續,堅定地,7,6,然後 有點頻繁出現
很明確,沉穩,清晰地,持續,小心謹慎地,3,7,
很明確,熱情,清晰地,持續,堅定地,6,8,語調很生動，但內容再精簡一點會更好
不夠集中,熱情,受限地,持續,小心謹慎地,3,8,
很明確,熱情,清晰地,持續,清晰,5,6,語速有點快了些
很明確,沉穩,受限地,游移,小心謹慎地,7,4,
